ENT_FED,NOM_MUN,CULTIVO,DESCRIPCION,UP_TOTAL,UP_AGCA_PER,SUPSEM_AGCA_PER,SUPCOS_AGCA_PER,TON_AGCA,UP_AGCA_PER_T,SUPSEM_AGCA_PER_T,SUPCOS_AGCA_PER_T,TON_AGCA_T,UP_AGCA_PER_R,SUPSEM_AGCA_PER_R,SUPCOS_AGCA_PER_R,TON_AGCA_R
00 NAL,,,Estados Unidos Mexicanos,4629134.0,1468379.0,7933316.4622,5572191.6673,,1121235.0,5834874.847,3731798.8986,,360055.0,2098441.6152,1840392.7687,
00 NAL,,Perennes,Perennes,,,,,,,,,,,,,
00 NAL,,Agave,Agave,75997.0,75800.0,361475.415,39259.6147,2971469.4619,71645.0,344817.7621,37264.0207,2828991.0594,4350.0,16657.6529,1995.594,142478.4025
00 NAL,,Aguacate,Aguacate,109178.0,108931.0,290820.4251,239048.8623,2484835.3486,74617.0,125103.7686,87920.5763,778659.2802,34845.0,165716.6565,151128.286,1706176.0684
00 NAL,,Alfalfa,Alfalfa,101219.0,101219.0,425357.4661,413482.7639,33654201.8324,8110.0,15216.6058,14207.1095,420363.2191,93334.0,410140.8603,399275.6544,33233838.6133
00 NAL,,Cacao,Cacao,55241.0,55200.0,91855.8976,60410.4783,29690.1565,54167.0,89728.5757,59223.4595,29170.1793,1053.0,2127.3219,1187.0188,519.9772
00 NAL,,Café,Café,358575.0,358301.0,564651.4215,491507.0971,737490.8006,356147.0,561563.3346,489021.4264,733888.6503,2215.0,3088.0869,2485.6707,3602.1503
00 NAL,,Caña de azúcar,Caña de azúcar,200317.0,200317.0,1007713.1563,975033.4743,59565348.7933,118059.0,605774.5169,583239.2356,30574837.0282,83511.0,401938.6394,391794.2387,28990511.7651
00 NAL,,Coco,Coco,38203.0,38185.0,104141.0024,87125.9304,399165.7995,27723.0,67166.2198,54293.0575,236881.4485,10573.0,36974.7826,32832.8729,162284.351
00 NAL,,Espárrago,Espárrago,1342.0,1331.0,38053.1992,36301.797,334781.8261,43.0,129.2322,107.2032,224.7792,1288.0,37923.967,36194.5938,334557.0469
00 NAL,,Fresa,Fresa,5791.0,4559.0,13723.6807,13309.5993,429040.6761,383.0,687.8377,621.438,12908.5259,4188.0,13035.843,12688.1613,416132.1502
00 NAL,,Guayaba,Guayaba,25594.0,25438.0,34964.5431,19435.1202,270778.2354,15096.0,14907.367,2848.9382,11283.2183,10355.0,20057.1761,16586.182,259495.0171
