ENT_FED,CULTIVO,DESCRIPCION,UP_TOTAL,UP_AGCA,TON_AGCA_CUL,UP_SEMILLA,TON_SEMILLA_CUL,UP_CONSFAM,TON_CONSFAM_CUL,UP_CONSANIM,TON_CONSANIM_CUL,UP_VENTA,TON_VENTA_CUL
00 NAL,,Estados Unidos Mexicanos,4629134.0,4366995.0,,2358814.0,,3010623.0,,1939601.0,,2576321.0,
00 NAL,Anuales,Anuales,,,,,,,,,,,
00 NAL,Algodón,Algodón,4666.0,4665.0,686092.3256,1977.0,120.9175925,6.0,0.357,1266.0,213.4574,4487.0,685757.5938
00 NAL,Amaranto,Amaranto,4532.0,4461.0,6265.1429,3281.0,118.4777148,1666.0,86.7632604,1235.0,25.5296,4231.0,6034.3723
00 NAL,Arroz,Arroz,2952.0,2950.0,172702.6519,1469.0,513.6529173,1628.0,361.1967443,989.0,133.2605,2272.0,171694.5416
00 NAL,Avena forrajera,Avena forrajera,104735.0,104735.0,6366167.3193,11151.0,6674.5507131,15349.0,1668.3839186,78308.0,3560170.5949,34989.0,2797653.7891
00 NAL,Brócoli,Brócoli,9030.0,8816.0,633487.3502,2758.0,405.7171999,3357.0,145.6764483,2874.0,735.5115,8357.0,632200.4447
00 NAL,Calabaza/calabacita,Calabaza/calabacita,148690.0,148369.0,697875.0836,90122.0,28266.5797031,102446.0,196073.4611269,18418.0,36187.2037,56346.0,437347.843
00 NAL,Cebada grano,Cebada grano,39692.0,39691.0,490878.4121,20730.0,8316.1250001,15808.0,609.3719829,22008.0,39905.2511,29460.0,442047.6643
00 NAL,Cebolla,Cebolla,14521.0,14190.0,1306797.2345,4835.0,1307.0402483,6090.0,854.746984,3084.0,364.0206,13279.0,1304271.4269
00 NAL,Chile,Chile,41336.0,40190.0,1960773.9741,17550.0,2836.6630013,22682.0,2036.3952833,2209.0,228.6836,32041.0,1955672.2318
00 NAL,Frijol,Frijol,613350.0,613345.0,967402.8296,428830.0,51041.8208369,506379.0,100349.3877221,87800.0,6569.0399,240563.0,809442.5889
00 NAL,Jitomate (Tomate rojo),Jitomate (Tomate rojo),22455.0,12507.0,1429938.5491,5153.0,1137.2064844,8276.0,1353.5152916,4035.0,1168.7768,11117.0,1426279.0502
00 NAL,Maíz forrajero,Maíz forrajero,135117.0,135117.0,20322627.287,22842.0,4487.946065,56600.0,39457.9930642,97674.0,11165964.4472,58805.0,9112716.9016
00 NAL,Maíz grano amarillo,Maíz grano amarillo,264623.0,264623.0,3476543.1261,189682.0,11074.4291903,218206.0,158632.5854368,132285.0,469746.7822,74845.0,2837089.3217
00 NAL,Maíz grano blanco,Maíz grano blanco,2407845.0,2407845.0,21926226.0479,1564137.0,92528.5851096,1984787.0,1669737.6384197,1143067.0,2218649.3613,979853.0,17945310.4565
00 NAL,Melón,Melón,4605.0,4581.0,472052.0291,1136.0,385.8479805,2170.0,5965.2261288,881.0,828.2049,3308.0,464872.7503
00 NAL,Papa,Papa,12498.0,12449.0,1695232.8303,8047.0,48533.1945482,8395.0,2869.4778475,2447.0,1277.3458,8373.0,1642552.8114
00 NAL,Sandía,Sandía,9972.0,9943.0,788213.0639,2953.0,756.5622008,5582.0,16310.1208082,1568.0,1251.0619,6718.0,769895.3204
