NOMBRE,NOM_MUN,ENTIDAD,UP_TOTAL,UP_SOLIC_CRED,UP_OBTEN_CRED,UP_SOLIC_SEG,UP_OBTEN_SEG
00 NAL,,Estados Unidos Mexicanos,4629134.0,300373.0,284114.0,97598.0,89860.0
01 AGS,, Aguascalientes,19648.0,815.0,728.0,155.0,138.0
01 AGS,Aguascalientes,  Aguascalientes,3098.0,137.0,127.0,15.0,12.0
01 AGS,Asientos,  Asientos,3302.0,122.0,109.0,23.0,21.0
01 AGS,Calvillo,  Calvillo,2659.0,94.0,79.0,35.0,25.0
01 AGS,Cosío,  Cosío,1049.0,99.0,96.0,20.0,20.0
01 AGS,Jesús María,  Jesús María,1451.0,49.0,37.0,5.0,5.0
01 AGS,Pabellón de Arteaga,  Pabellón De Arteaga,989.0,54.0,49.0,7.0,7.0
01 AGS,Rincón de Romos,  Rincón De Romos,1709.0,110.0,101.0,26.0,24.0
01 AGS,San José de Gracia,  San José De Gracia,1060.0,19.0,18.0,6.0,6.0
01 AGS,Tepezalá,  Tepezalá,1586.0,70.0,63.0,10.0,10.0
01 AGS,El Llano,  El Llano,2199.0,34.0,28.0,3.0,3.0
01 AGS,San Francisco de los Romo,  San Francisco De Los Romo,546.0,27.0,21.0,5.0,5.0
02 BCN,, Baja California,7777.0,1837.0,1741.0,1549.0,1470.0
02 BCN,Ensenada,  Ensenada,1483.0,119.0,101.0,69.0,65.0
02 BCN,Mexicali,  Mexicali,4964.0,1624.0,1572.0,1450.0,1377.0
02 BCN,Tecate,  Tecate,270.0,18.0,15.0,3.0,3.0
02 BCN,Tijuana,  Tijuana,159.0,7.0,2.0,2.0,2.0
02 BCN,Playas de Rosarito,  Playas De Rosarito,100.0,2.0,2.0,0.0,0.0
02 BCN,San Quintín,  San Quintín,778.0,67.0,49.0,24.0,22.0
02 BCN,San Felipe,  San Felipe,23.0,0.0,0.0,1.0,1.0
03 BCS,, Baja California Sur,4606.0,328.0,283.0,148.0,138.0
03 BCS,Comondú,  Comondú,1253.0,190.0,174.0,104.0,99.0
03 BCS,Mulegé,  Mulegé,723.0,16.0,11.0,5.0,5.0
03 BCS,La Paz,  La Paz,1599.0,96.0,78.0,38.0,33.0
03 BCS,Los Cabos,  Los Cabos,934.0,22.0,18.0,1.0,1.0
03 BCS,Loreto,  Loreto,97.0,4.0,2.0,0.0,0.0
04 CAM,, Campeche,53018.0,4519.0,4183.0,1980.0,1871.0
