ENT_FED,MUNICIPIO,ESTRATO,ENT_FED_SEXO,UP_TOTAL,UP_PERS_FISIC,P_UP_PERS_CIS,P_PFISIC_PROD,P_PROD_PRESC,P_PROD_PRIM,P_PROD_SEC,P_PROD_BACH,P_PROD_TEC,P_PROD_LIC,P_PROD_POSTG,P_PROD_NOSABE,P_PROD_SINEST
00 NAL,,,Estados Unidos Mexicanos,4629134.0,4609729.0,79.00516494570505,100.0,0.35729889337021725,50.37074849415013,21.65666510550215,7.028834371676208,0.8188251731601003,4.334590126926044,0.243721366951158,0.514145385972656,14.67517108229134
00 NAL,,Hombres,  Hombres,0.0,3733273.0,79.07876011210539,80.92082874249883,0.3573275039469803,51.158000659275835,21.93723000052048,7.243394229601485,0.7017470809694825,4.385606967504641,0.24875518312253855,0.4909176078696716,13.477020767188883
00 NAL,,Mujeres,  Mujeres   ,0.0,876456.0,78.69168560657923,19.07917125750117,0.35717754682160546,47.03176186986199,20.46670022104684,6.118817826205971,1.3153905700418251,4.118211492669546,0.22237135280076056,0.6126617747912417,19.756907345760226
01 AGS,,, Aguascalientes,19648.0,19437.0,69.06930081802747,0.3674352313275177,0.8023842274186153,52.81980742778542,23.933975240715267,7.290233837689134,1.1080544092923734,7.007488919455907,0.7794589637780834,0.1528350909368791,6.10576188292832
01 AGS,,Hombres,   Hombres,0.0,17166.0,69.95223115460794,89.33975240715269,0.8125908818749465,52.5275853220426,24.16388675049183,7.398853819177145,0.992216234710461,7.210674878111368,0.8040372936446839,0.1625181763749893,5.9276366435719785
01 AGS,,Mujeres,   Mujeres   ,0.0,2271.0,62.39542051959489,10.660247592847318,0.7168458781362007,55.26881720430107,22.00716845878136,6.379928315412187,2.078853046594982,5.304659498207886,0.5734767025089605,0.07168458781362007,7.598566308243727
01 AGS,Aguascalientes,,  Aguascalientes,3098.0,3057.0,65.7834478246647,15.337001375515818,0.4484304932735426,56.153462879920276,22.42152466367713,7.174887892376682,0.7473841554559043,5.4808171400099654,0.6477329347284504,0.09965122072745392,6.826108619830593
01 AGS,Aguascalientes,Hombres,    Hombres,0.0,2710.0,67.34317343173431,90.73243647234679,0.43931905546403077,56.946732564524986,21.965952773201536,7.248764415156508,0.43931905546403077,5.491488193300384,0.7138934651290499,0.054914881933003847,6.699615595826469
01 AGS,Aguascalientes,Mujeres,    Mujeres   ,0.0,347.0,53.60230547550432,9.267563527653214,0.5376344086021505,48.38709677419355,26.881720430107528,6.451612903225806,3.763440860215054,5.376344086021505,0.0,0.5376344086021505,8.064516129032258
01 AGS,Asientos,,  Asientos,3302.0,3280.0,77.86585365853658,19.272504967140456,0.8723235527359239,54.71847739888977,24.94052339413164,5.233941316415543,0.9516256938937351,5.432196669310072,0.753370340999207,0.07930214115781126,7.0182394924662965
